county_fips,group_id,regional_jail_name,county_fips_list,start_year,end_year,n_years,n_counties
54057,54,Northern Regional Jail And Correction Facility,"('54023', '54027', '54031', '54057', '54071')",2000,2026,27,5
54059,46,Central Regional Jail,"('54005', '54045', '54059', '54047')",1994,2026,33,4
54061,47,South Central Regional Jail,"('54017', '54033', '54049', '54061', '54073', '54095', '54105', '54107', '54085')",2002,2026,25,9
54063,53,Southwestern Regional Jail,"('54019', '54025', '54055', '54063', '54081', '54089', '54109')",2007,2026,20,7
54063,198,,"('54019', '54025', '54063', '54081', '54089', '54109')",1994,2006,13,6
54065,49,Eastern Regional Jail,"('54003', '54037', '54065')",1989,2026,38,3
54067,50,Western Regional Jail,"('54007', '54013', '54015', '54021', '54041', '54067', '54087', '54101')",1993,2026,34,8
54067,210,,"('54007', '54015', '54021', '54041', '54067', '54087', '54101')",1990,1992,3,7
54069,51,North Central Regional Jail,"('54009', '54029', '54051', '54069', '54103')",2000,2026,27,5
54069,201,,"('54009', '54051', '54069', '54103')",1994,1999,6,4
54071,54,Northern Regional Jail And Correction Facility,"('54023', '54027', '54031', '54057', '54071')",2000,2026,27,5
54073,47,South Central Regional Jail,"('54017', '54033', '54049', '54061', '54073', '54095', '54105', '54107', '54085')",2002,2026,25,9
54073,200,,"('54017', '54033', '54073', '54095', '54105')",2000,2001,2,5
54075,48,Tygart Valley Regional Jail,"('54001', '54075', '54077', '54083', '54091', '54093', '54097')",2006,2026,21,7
54077,48,Tygart Valley Regional Jail,"('54001', '54075', '54077', '54083', '54091', '54093', '54097')",2006,2026,21,7
54079,52,Potomac Highlands Regional Jail,"('54011', '54043', '54053', '54079', '54099')",2000,2026,27,5
54079,202,,"('54011', '54043', '54079')",1994,1999,6,3
54081,53,Southwestern Regional Jail,"('54019', '54025', '54055', '54063', '54081', '54089', '54109')",2007,2026,20,7
54081,198,,"('54019', '54025', '54063', '54081', '54089', '54109')",1994,2006,13,6
54083,48,Tygart Valley Regional Jail,"('54001', '54075', '54077', '54083', '54091', '54093', '54097')",2006,2026,21,7
54083,199,,"('54001', '54083', '54093', '54097')",2000,2005,6,4
54083,204,,"('54083', '54093', '54097')",1994,1999,6,3
54083,209,,"('54083', '54093')",1984,1993,10,2
54085,47,South Central Regional Jail,"('54017', '54033', '54049', '54061', '54073', '54095', '54105', '54107', '54085')",2002,2026,25,9
54087,50,Western Regional Jail,"('54007', '54013', '54015', '54021', '54041', '54067', '54087', '54101')",1993,2026,34,8
54087,210,,"('54007', '54015', '54021', '54041', '54067', '54087', '54101')",1990,1992,3,7
54087,211,,"('54007', '54015', '54021', '54041', '54087', '54101')",1989,1989,1,6
54089,53,Southwestern Regional Jail,"('54019', '54025', '54055', '54063', '54081', '54089', '54109')",2007,2026,20,7
54089,198,,"('54019', '54025', '54063', '54081', '54089', '54109')",1994,2006,13,6
54091,48,Tygart Valley Regional Jail,"('54001', '54075', '54077', '54083', '54091', '54093', '54097')",2006,2026,21,7
54093,48,Tygart Valley Regional Jail,"('54001', '54075', '54077', '54083', '54091', '54093', '54097')",2006,2026,21,7
54093,199,,"('54001', '54083', '54093', '54097')",2000,2005,6,4
54093,204,,"('54083', '54093', '54097')",1994,1999,6,3
54093,209,,"('54083', '54093')",1984,1993,10,2
54095,47,South Central Regional Jail,"('54017', '54033', '54049', '54061', '54073', '54095', '54105', '54107', '54085')",2002,2026,25,9
54095,200,,"('54017', '54033', '54073', '54095', '54105')",2000,2001,2,5
54097,48,Tygart Valley Regional Jail,"('54001', '54075', '54077', '54083', '54091', '54093', '54097')",2006,2026,21,7
54097,199,,"('54001', '54083', '54093', '54097')",2000,2005,6,4
54097,204,,"('54083', '54093', '54097')",1994,1999,6,3
54099,52,Potomac Highlands Regional Jail,"('54011', '54043', '54053', '54079', '54099')",2000,2026,27,5
54101,50,Western Regional Jail,"('54007', '54013', '54015', '54021', '54041', '54067', '54087', '54101')",1993,2026,34,8
54101,210,,"('54007', '54015', '54021', '54041', '54067', '54087', '54101')",1990,1992,3,7
54101,211,,"('54007', '54015', '54021', '54041', '54087', '54101')",1989,1989,1,6
54103,51,North Central Regional Jail,"('54009', '54029', '54051', '54069', '54103')",2000,2026,27,5
54103,201,,"('54009', '54051', '54069', '54103')",1994,1999,6,4
54103,208,,"('54051', '54103')",1993,1993,1,2
54105,47,South Central Regional Jail,"('54017', '54033', '54049', '54061', '54073', '54095', '54105', '54107', '54085')",2002,2026,25,9
54105,200,,"('54017', '54033', '54073', '54095', '54105')",2000,2001,2,5
54107,47,South Central Regional Jail,"('54017', '54033', '54049', '54061', '54073', '54095', '54105', '54107', '54085')",2002,2026,25,9
54109,53,Southwestern Regional Jail,"('54019', '54025', '54055', '54063', '54081', '54089', '54109')",2007,2026,20,7
54109,198,,"('54019', '54025', '54063', '54081', '54089', '54109')",1994,2006,13,6
55078,197,,"('55078', '55115')",1970,2026,57,2
55115,197,,"('55078', '55115')",1970,2026,57,2
